Cepages;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Chasselas;1875;1800;1795;1780;1770;1750;1710;1700;1650;1600;1550;1500;1400;1300;1200;1150;1100;1075;1050;1025;1000;975;950;925;900;885;865;850;825;800;775;768
Pinot_noir;1732;1760;1770;1780;1800;1810;1820;1840;1850;1835;1815;1800;1790;1780;1770;1750;1730;1720;1700;1675;1650;1625;1600;1575;1545;1500;1470;1445;1400;1375;1345;1302
Gamay;984;980;970;965;960;950;940;930;920;910;900;875;850;825;800;775;750;725;700;680;675;650;625;600;590;575;565;555;535;515;485;474
Sylvaner_Rhin;271;1800;1795;1780;1770;1750;1710;1700;1650;1600;1550;1500;1400;1300;1200;1150;1100;1075;1050;1025;1000;975;950;925;900;885;865;850;825;800;775;314
Pinot_Gris;52;1760;1770;1780;1800;1810;1820;1840;1850;1835;1815;1800;1790;1780;1770;1750;1730;1720;1700;1675;1650;1625;1600;1575;1545;1500;1470;1445;1400;1375;1345;59
Chardonnay;46;980;970;965;960;950;940;930;920;910;900;875;850;825;800;775;750;725;700;680;675;650;625;600;590;575;565;555;535;515;485;69
Humagne rouge;44;1800;1795;1780;1770;1750;1710;1700;1650;1600;1550;1500;1400;1300;1200;1150;1100;1075;1050;1025;1000;975;950;925;900;885;865;850;825;800;775;142
Arvine;39;1760;1770;1780;1800;1810;1820;1840;1850;1835;1815;1800;1790;1780;1770;1750;1730;1720;1700;1675;1650;1625;1600;1575;1545;1500;1470;1445;1400;1375;1345;252
Syrah;19;980;970;965;960;950;940;930;920;910;900;875;850;825;800;775;750;725;700;680;675;650;625;600;590;575;565;555;535;515;485;173
Cornalin;14;1800;1795;1780;1770;1750;1710;1700;1650;1600;1550;1500;1400;1300;1200;1150;1100;1075;1050;1025;1000;975;950;925;900;885;865;850;825;800;775;161
Savagnin blanc;14;1760;1770;1780;1800;1810;1820;1840;1850;1835;1815;1800;1790;1780;1770;1750;1730;1720;1700;1675;1650;1625;1600;1575;1545;1500;1470;1445;1400;1375;1345;212
Merlot;1;980;970;965;960;950;940;930;920;910;900;875;850;825;800;775;750;725;700;680;675;650;625;600;590;575;565;555;535;515;485;145
Ameliorateurs;6;1800;1795;1780;1770;1750;1710;1700;1650;1600;1550;1500;1400;1300;1200;1150;1100;1075;1050;1025;1000;975;950;925;900;885;865;850;825;800;775;267
Difference;169;1760;1770;1780;1800;1810;1820;1840;1850;1835;1815;1800;1790;1780;1770;1750;1730;1720;1700;1675;1650;1625;1600;1575;1545;1500;1470;1445;1400;1375;1345;337
